背景,yard_even.jpg
ナレ,私が世界は残酷なものと知ったのは九歳の誕生日だった。それまでの私は誠実な父と優しい母、兄、そして仲の良い家族同然の使用人に囲まれて、幸せだった。
ナレ,幼い私は、この幸せが永遠に続くものと思っていた。---けれど崩壊は瞬きするような時間で訪れる。
ナレ,あの日、私の為に開かれたパーティも終わり、居間で一家団欒をしていると、父が私に言った。
父,さあ、もう夜も更けた。もうおやすみ
主人公,えー……まだお父様やお母様たちとお話ししたいの!
兄,こら、アディ。我儘をいうんじゃない
主人公,だってお兄様ぁ～
兄,う……泣きそうな顔をするなよ
主人公,だって……私まだお話したい
兄,わかったから!泣くな。ほらせっかくの可愛い顔が台無しだぞ
ナレ,泣く私にあたふたするお兄様。それを微笑ましげにみているお母様。
ナレ,困るお兄様を見かねたのか、お父様が助け舟をだして、私に告げる。
父,お前にもう一つ贈り物があるんだよ
主人公,？　……贈り物？
父,ああ、さっきこっそりとお前の部屋に置いてきたんだ
見てきてごらん
ナレ,その言葉に私は胸をわくわくさせて、自分の部屋へと向かう。
主人公,えっと……あった！
ナレ,枕元の横のサイドボードに先程までなかった包みがおいてあった。その場であけてしまおうかと思ったが。
主人公,やっぱりお父様たちのところに戻ってあけよう
ナレ,包みを胸に抱いて、お父様たちがいる居間に戻ろうとした。
ナレ,パパパンッ！！！！！！
主人公,きゃあ!?
ナレ,突然、私の耳を劈く大きな音が鳴った。それに驚き、私は抱えていた包みを落としそうになる。
ナレ,一体何が起こったのか。私は怖くなり、とっさに自室の部屋に戻り、床に蹲った。
ナレ,その時、パタパタと駆けてくる足音が聞こえた。
フィオナ,お嬢様!!　ご無事ですか、お嬢様!!
ナレ,そう叫びながら駆け込んで来たのは、私が生まれたときからずっと側にいてくれた使用人のフィオナだった。
ナレ,何故か慌てているが私を見つけホッとしたようだ。
フィオナ,良かった!ご無事でしたか
主人公,フィオナ……!何がおきたの!?今の音は？お父様たち!?
ナレ,駆けつけてくれたフィオナにしがみつき、矢継ぎ早に問いかけると、フィオナは私に何かを言おうとした。
ナレ,パン！！パパンッ！！！
ナレ,またあの音が鳴って、フィオナが怯える私を抱きしめて、窓に駆け寄り外を見た。
フィオナ,!?　大変……火が!
ナレ,フィオナの言葉に私も窓から外を見ると、屋敷の右側から炎が上がっていた。
主人公,なんで?火事なの!?フィオナ、何が
ナレ,言葉をさえぎるようにクローゼットから大きめのコートを取り出す。
ナレ,それを私の頭へバサリとかける。突然のことに驚く私にフィオナが手を繋いで声をかけた。
フィオナ,お嬢様、よく聞いてください!決して私の手を離さないで。
いいですか、何があってもこの手を離さないでください
ナレ,見たこともないフィオナの必死な様子に、私はただ頷きを返す。
ナレ,フィオナはそのまま廊下をそっと窺うと、私の手を引いて廊下にでて、走り出した。
ナレ,廊下には火事の煙がうっすらと漂い始めていた。
ナレ,歩幅が違うので何度か転びそうになる私を気遣いながら、フィオナが周囲を警戒して進む。
ナレ,その途中で私がさっきまでいた居間の前に通りかかった。
ナレ,居間の扉は大きく開け放たれ、中の様子が廊下にいる私にもよく見えた。
主人公,えっ……
ナレ,私の目に飛び込んできたのは、床に倒れている父と、その横で動かない兄を守るように覆いかぶさる様に倒れている母の姿だった。
ナレ,何が起こっているのか、私には全くわからなかった。
主人公,フィ、フィオナ。待って!!
ナレ,私同様に部屋の中を見たであろうフィオナは、涙を浮かべながらなおも私を引っ張って行こうとする。
ナレ,私はその力に抗って、フィオナを止めようとした。
主人公,待って!フィオナ、お父様たちがまだ居間にいらっしゃるの!お父様たちが
フィオナ,なりません!!お嬢様、このままここにいてはお嬢様まで
主人公,でもお父様たちがまだ居間に……戻って!!
ナレ,私が何度も居間を振り返りながら頼んでも、フィオナは歩みを止めてくれない。
ナレ,右手はフィオナと手を繋いで、左手はプレゼントの包みを抱えているために上手く抗えない。
ナレ,引きずられるようにフィオナの後についていく。どんどんと居間が遠ざかっていくのを見て、私は泣き叫んだ。
主人公,お父様ァ!!お母様ァァ!!……お兄様ァァァ!!
ナレ,そのまま煙がどんどんと充満していき、居間の扉は見えなくなった。
ナレ,あれから十年―――。私は目の前で眠る人に話しかけた。
主人公,フィオナお母さん、行ってきます
ナレ,あの悪夢の日から本来の身分を隠し、フィオナの娘として様々な家で下働きをして生活を送ってきた。
ナレ,フィオナは本当に私を大切に育ててくれた。お母様のように優しく、でも仕事のときはとても厳しく。
ナレ,今思い返せば、きっと自分がいなくなった時に、私が一人でも生きていけるようにという想いがあったのだろう。
ナレ,半年前。
ナレ,流行り病が下町で流行しフィオナは、呆気ないほど簡単に三十六年の短すぎる生涯を終えた。
ナレ,身寄りもなく、頼る親戚もいないフィオナの葬儀は、ひっそりと行われ、私の目の前にある小さなお墓に彼女は眠っている。
主人公,貴方が教えてくれた手がかりをもとに方方を駆けずり回ったよ
ナレ,息を引き取る直前、フィオナは私にあの日に見た事を教えてくれた。
主人公,見ていて。必ず、私達からあの日々を奪った男に、
地べたを這いつくばらせてやる
ナレ,ポツリポツリと雨が降ってくる。
ナレ,空を見上げれば、フィオナの葬式の時と同じ立ち込めた暗雲が天を覆っている。
主人公,私はけっしてあの男を許さない。絶対に、絶対に!!!
ナレ,決意を胸に私は濡れることもかまわず、しばしその場に立ち尽くしていた。
